Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-12-28;77,72;77,76;76,00;78,20;76,00;77,92;77,637;9825138;762765851,12;6819;
2018-12-27;75,18;75,22;77,96;78,14;74,90;75,40;76,183;8698916;661546143,6;8785;
2018-12-21;77,54;77,58;78,70;78,84;77,28;77,94;77,917;18553570;1445622163,25;10654;
2018-12-20;78,78;78,82;79,56;79,60;78,68;78,68;78,937;9109825;719159764,48;7256;
2018-12-19;80,56;80,62;80,50;81,64;80,36;80,46;80,70;10138385;818183323,74;7017;
2018-12-18;80,60;80,62;81,06;81,28;80,10;80,66;80,693;9362881;755478232,27;6930;
2018-12-17;81,32;81,40;82,00;82,20;80,96;81,26;81,382;8232676;669938481,36;7002;
2018-12-14;82,10;82,16;82,20;82,80;81,22;82,20;82,169;6731471;553131691,55;5958;
2018-12-13;82,82;82,86;83,76;83,76;82,34;82,70;82,811;8412840;696660371,01;9206;
2018-12-12;82,88;82,92;80,50;82,96;80,50;82,86;82,343;15552243;1280369018,39;14289;
2018-12-11;80,16;80,22;79,52;80,94;79,28;80,30;80,131;11106339;890077514,18;10245;
2018-12-10;78,66;78,72;78,52;79,68;78,02;78,66;78,961;11242498;887726715,68;9751;
2018-12-07;79,28;79,32;78,34;80,68;77,60;79,20;79,387;12518354;993810803,1;11123;
2018-12-06;76,70;76,74;74,94;77,14;74,76;76,60;76,459;12370733;945723583,44;10703;
2018-12-05;75,32;75,34;76,12;76,78;75,24;75,24;75,619;5090745;384985264,19;4859;
2018-12-04;76,96;77,00;78,20;78,56;76,80;76,80;77,159;8495875;655557359,67;6627;
2018-12-03;78,64;78,68;78,60;79,30;78,02;78,64;78,63;8469705;665953175,69;7997;
2018-11-30;76,02;76,06;75,90;76,86;75,54;75,92;76,156;10748223;818649680,01;7397;
2018-11-29;75,84;75,86;76,74;77,16;75,76;75,88;76,237;6795355;518159576,37;5965;
2018-11-28;75,84;75,88;76,06;76,38;75,22;75,92;75,862;4956288;375993009,02;4706;
2018-11-27;75,40;75,44;76,42;77,40;75,16;75,38;75,895;5989991;454650861,94;5556;
2018-11-26;76,42;76,46;76,26;76,74;75,72;76,42;76,28;7762184;592083868,27;7368;
2018-11-23;75,76;75,80;73,84;76,10;73,66;75,98;75,326;9338632;703402568,31;9171;
2018-11-22;73,10;73,14;73,90;74,28;73,06;73,12;73,509;5259028;386588194,66;5402;
2018-11-21;74,06;74,10;74,00;74,46;73,54;74,24;74,122;8093544;599897850,47;7198;
2018-11-20;73,64;73,68;75,00;75,30;73,00;73,78;74,013;10498563;777033518;10173;
2018-11-19;75,82;75,88;77,14;77,80;75,80;75,92;76,639;7650718;586667047,11;6616;
2018-11-16;76,68;76,72;76,60;77,38;76,46;76,96;76,967;6632710;510503754,41;5976;
2018-11-15;76,38;76,40;76,72;77,38;75,70;76,46;76,662;9837434;754072644,27;9658;
2018-11-14;77,58;77,64;80,66;80,66;77,30;77,64;78,393;10560396;827984136,85;9162;
2018-11-13;80,90;80,94;80,50;81,02;79,90;81,00;80,565;7993512;643928106,95;7244;
2018-11-12;80,36;80,40;82,00;82,36;80,30;80,30;80,85;7751824;626857447,01;6093;
2018-11-09;81,72;81,76;81,48;82,22;81,14;81,84;81,845;6096533;498969167,52;6659;
2018-11-08;81,66;81,70;83,00;83,00;80,40;81,70;81,656;11405962;931362501,06;10603;
2018-11-07;81,80;81,84;81,00;81,94;80,82;81,74;81,398;7947060;646857400,57;6975;
2018-11-06;80,74;80,78;81,50;81,50;79,88;80,92;80,773;9021950;728724152,2;8016;
2018-11-05;81,04;81,08;81,10;81,56;80,40;81,06;81,058;8795844;712970213,25;6935;
2018-11-02;80,82;80,86;81,30;81,42;80,46;81,00;80,86;5410113;437455208,95;4536;
2018-11-01;80,04;80,06;79,24;80,26;78,84;80,06;79,496;11631431;924642534,4;10524;
2018-10-31;79,50;79,54;79,30;80,18;78,52;79,78;79,465;15468059;1229157832,35;11519;
2018-10-30;79,22;79,26;79,20;80,02;78,28;79,24;79,106;7806039;617513038,65;7243;
2018-10-29;78,94;78,98;78,86;79,70;78,60;79,06;79,176;9160802;725314549,16;8530;
2018-10-26;78,58;78,62;79,50;79,92;78,04;78,70;78,798;12095605;953108967,75;9740;
2018-10-25;79,42;79,44;80,64;81,16;78,76;79,50;79,802;12781348;1020008993,02;10856;
2018-10-24;81,38;81,44;82,50;82,72;81,34;81,50;81,90;8854790;725224033,19;8175;
2018-10-23;81,92;81,96;82,90;83,28;81,24;81,80;81,947;9944291;814907878,95;10386;
2018-10-22;83,62;83,66;84,96;85,22;83,34;83,66;84,058;11958858;1002954273,35;10712;
2018-10-19;85,00;85,06;83,50;85,66;83,18;84,94;84,688;20876676;1767983195,9;21199;
2018-10-18;83,18;83,22;81,62;83,92;78,24;82,82;81,728;33242772;2716694650,16;34536;
2018-10-17;78,02;78,08;78,00;78,32;76,26;78,00;77,617;10899324;845906373,34;10784;
2018-10-16;76,78;76,82;75,06;77,02;74,24;76,90;76,035;12390731;942128597,41;11786;
2018-10-15;73,72;73,76;74,32;74,60;72,82;73,84;73,919;10512012;777041499,94;9484;
2018-10-12;74,06;74,10;75,24;75,58;73,82;73,86;74,412;10769939;801438273,62;10118;
2018-10-11;74,64;74,70;76,84;76,90;74,02;74,58;75,09;14513704;1089825956,82;14576;
2018-10-10;77,48;77,52;80,00;80,00;77,18;77,44;78,023;8956065;698792961,63;7073;
2018-10-09;79,52;79,56;78,60;80,18;78,12;79,62;79,28;9118906;722926688,8;7772;
2018-10-08;77,90;77,92;78,80;78,86;77,76;77,92;78,087;4632167;361713541,68;4691;
2018-10-05;78,62;78,68;80,40;81,02;78,36;78,80;79,432;7078798;562261068,87;6448;
2018-10-04;80,58;80,60;80,30;80,70;79,02;80,62;80,337;8340814;670029307,58;7005;
2018-10-03;80,42;80,46;79,54;81,04;79,54;80,30;80,369;9171823;737153991,61;7043;
2018-10-02;79,40;79,44;79,60;79,62;78,50;79,48;79,138;7335588;580406039,44;5368;
2018-10-01;79,54;79,56;79,42;79,82;79,04;79,62;79,617;6930265;551757111,72;5940;
2018-09-28;79,08;79,12;79,84;79,98;78,68;78,88;79,143;7374691;583599107,25;5540;
2018-09-27;79,82;79,84;79,08;79,94;78,50;79,76;79,448;5904590;469099380,39;5577;
2018-09-26;79,44;79,48;80,00;80,00;79,16;79,50;79,53;5900636;469276934,66;5891;
2018-09-25;80,00;80,04;78,96;80,42;78,46;80,08;79,844;8067969;643913310,56;7518;
2018-09-24;78,78;78,82;77,60;79,16;77,60;78,80;78,621;6110683;478858016,17;6206;
2018-09-21;77,52;77,56;77,20;78,10;76,20;77,62;77,471;11421881;884849529,98;8586;
2018-09-20;77,02;77,04;78,00;78,70;76,80;77,06;77,441;8393732;650033648,15;7151;
2018-09-19;77,84;77,88;78,10;79,06;77,42;77,86;78,208;7122723;557212097,55;6903;
2018-09-18;77,56;77,60;76,84;77,74;76,52;77,74;77,247;7718878;596188834,26;6733;
2018-09-17;76,94;76,96;78,10;78,28;76,92;77,00;77,434;5623963;435750630,35;4036;
2018-09-14;78,28;78,32;78,04;78,38;77,42;78,22;77,993;4457936;347677066,41;3782;
2018-09-13;77,78;77,82;76,60;78,50;76,10;77,66;77,803;7665791;596370496,97;6948;
2018-09-12;76,42;76,46;78,00;78,46;76,28;76,50;77,235;6041195;466619300,66;6208;
2018-09-11;77,64;77,66;77,64;78,72;76,82;77,64;77,633;8316608;645641325,28;7898;
2018-09-10;77,86;77,90;78,10;78,62;77,58;77,64;77,91;5689967;443317414,71;4932;
2018-09-07;78,40;78,44;78,76;79,26;77,96;78,52;78,586;6675706;524621087,76;7186;
2018-09-06;78,92;78,94;77,14;79,00;77,08;78,88;78,414;10839973;849977783,53;9670;
2018-09-05;76,52;76,56;78,18;78,78;76,32;76,34;77,097;10736269;827970082,99;9345;
2018-09-04;77,62;77,68;77,96;78,00;77,00;77,64;77,553;6935379;537858549,52;7246;
2018-09-03;77,86;77,90;77,28;78,20;77,10;77,86;77,737;5787033;449861865,31;6204;
2018-08-31;77,18;77,22;77,32;77,86;76,96;77,14;77,224;8573341;662120061,09;6014;
2018-08-30;77,76;77,82;78,52;78,66;77,44;77,58;77,829;8978989;698825375,18;9050;
2018-08-29;78,68;78,72;78,82;79,32;78,48;78,76;78,825;5255714;414284003,03;5372;
2018-08-28;78,76;78,78;78,70;78,94;78,30;78,70;78,642;7492702;589229496,54;6355;
2018-08-27;78,64;78,68;78,50;79,04;78,32;78,56;78,669;6478230;509650123,66;5671;
2018-08-24;78,32;78,34;76,94;78,58;76,34;78,20;77,771;15683707;1219311601,21;11875;
2018-08-23;75,48;75,52;74,92;76,12;74,76;75,68;75,495;10698412;807679981,71;8382;
2018-08-22;74,42;74,44;74,00;74,72;73,94;74,42;74,396;7137983;531045857,68;6567;
2018-08-21;74,04;74,08;72,70;74,30;72,68;73,96;73,934;8178901;604712925,66;6253;
2018-08-20;72,74;72,76;72,02;72,86;71,84;72,78;72,536;7337699;532146137,01;6400;
2018-08-17;71,80;71,82;71,68;72,34;71,58;71,92;71,88;7551066;542757224,08;5000;
2018-08-16;71,80;71,84;71,50;72,04;71,16;71,74;71,675;6250395;447984087,53;4628;
2018-08-15;70,68;70,72;71,20;71,68;70,66;70,82;71,09;6186467;439871274,34;4893;
2018-08-14;71,24;71,28;71,30;71,72;70,90;71,30;71,229;4205094;299513202,33;3634;
2018-08-13;71,30;71,34;71,22;72,12;70,92;71,20;71,49;6094249;435679740,2;5179;
2018-08-10;71,34;71,38;71,20;71,82;71,16;71,30;71,417;4226103;301821485,13;3890;
2018-08-09;71,70;71,72;71,88;71,98;71,40;71,78;71,721;3945105;282944455,04;3375;
2018-08-08;71,80;71,82;71,18;72,02;70,70;71,80;71,629;6879301;492839050,03;4938;
2018-08-07;71,00;71,04;71,04;71,40;70,84;71,14;71,177;4146891;295163136,92;3358;
2018-08-06;70,90;70,94;70,90;71,52;70,24;70,98;70,97;4452217;315983255,99;3917;
2018-08-03;70,60;70,62;69,64;70,76;69,64;70,68;70,574;4417924;311784856,4;3973;
2018-08-02;69,68;69,72;69,88;69,92;69,16;69,56;69,515;5208543;362073492,49;4277;
2018-08-01;69,92;69,96;68,70;70,24;68,70;70,02;69,80;4672552;326137284,29;4451;
2018-07-31;69,00;69,06;69,90;69,98;68,70;68,88;69,054;7815661;539775819,14;6328;
2018-07-30;69,82;69,86;70,50;70,54;69,66;69,96;70,00;6080544;425629185,31;5788;
2018-07-27;70,68;70,70;71,00;71,74;70,62;70,64;70,945;7496787;531874246,41;6729;
2018-07-26;71,86;71,90;72,10;72,24;71,26;71,86;71,799;9135400;655912912,33;8401;
2018-07-25;72,78;72,80;72,68;73,34;72,40;72,80;72,865;6662195;485428149,38;6567;
2018-07-24;72,52;72,56;72,80;73,32;72,32;72,60;72,81;6467488;470921852,97;6632;
2018-07-23;72,32;72,34;73,38;73,38;72,10;72,42;72,642;5369085;389496170,63;5455;
2018-07-20;73,16;73,18;73,42;73,66;72,62;73,10;73,141;13227109;967449718,29;13164;
2018-07-19;73,46;73,48;73,98;74,06;72,02;73,40;73,428;12801933;940085613,95;10036;
2018-07-18;73,46;73,52;71,12;75,26;71,08;73,34;73,619;28072771;2066777848,69;27455;
2018-07-17;67,42;67,46;67,52;67,90;66,88;67,58;67,558;8451697;570945238,12;7029;
2018-07-16;67,68;67,72;69,14;69,18;67,10;67,74;67,80;7694459;521691039,78;6499;
2018-07-13;68,90;68,94;68,50;69,66;68,42;68,98;69,011;6710208;463072405,41;6767;
2018-07-12;68,34;68,38;67,76;68,52;66,54;68,34;67,896;4561557;309672316,5;3953;
2018-07-11;67,56;67,60;68,12;68,12;67,40;67,48;67,618;4977264;336558726,86;4198;
2018-07-10;68,40;68,44;68,20;68,58;67,88;68,50;68,348;5493610;375470479,48;5105;
2018-07-09;67,60;67,64;67,76;68,34;67,40;67,78;67,741;4771455;323219567,78;4949;
2018-07-06;67,50;67,54;67,00;67,58;66,66;67,56;67,273;5551726;373470419,12;4781;
2018-07-05;66,58;66,60;66,52;67,10;66,30;66,60;66,654;4529971;301937146,17;4212;
2018-07-04;66,44;66,48;67,84;67,98;66,36;66,36;66,684;5342352;356252671,77;4673;
2018-07-03;67,20;67,22;68,00;68,22;66,96;67,20;67,396;6705217;451913683,22;6027;
2018-07-02;67,48;67,54;68,38;68,62;67,50;67,78;67,891;6471636;439369616,63;5842;
2018-06-29;69,42;69,46;68,04;69,52;67,96;69,26;69,009;11725862;809177394,28;7434;
2018-06-28;66,76;66,80;67,90;68,46;66,52;66,80;67,063;7389333;495593056,95;5778;
2018-06-27;67,72;67,76;67,20;68,00;66,32;67,80;67,506;6949017;469076243,18;6345;
2018-06-26;67,14;67,18;67,56;68,02;67,12;67,16;67,408;7005789;472281937,84;6249;
2018-06-25;67,68;67,72;69,06;69,06;67,56;67,56;68,063;8709109;592776388,24;7921;
2018-06-21;68,60;68,64;70,72;70,98;68,36;68,60;69,401;8230577;571275099,48;8047;
2018-06-20;70,54;70,60;70,00;71,20;69,98;70,50;70,533;10571645;745642795,67;10368;
2018-06-19;69,88;69,94;67,94;69,98;67,66;69,96;69,279;14558442;1007312140,14;10835;
2018-06-18;67,80;67,86;67,80;68,44;67,36;68,00;67,828;8786083;595390839,49;7915;
2018-06-15;68,18;68,22;68,08;68,94;67,82;68,06;68,215;12100120;825421691,02;8569;
2018-06-14;68,06;68,08;66,40;68,28;65,76;68,18;67,506;12465609;840949108,46;8485;
2018-06-13;66,60;66,66;64,28;66,68;64,14;66,64;65,907;11405788;751680273,34;8017;
2018-06-12;63,68;63,74;63,00;63,80;63,00;63,64;63,483;8249670;523705748,82;6637;
2018-06-11;63,12;63,16;63,40;63,50;62,60;63,20;63,039;5970521;376243794,93;4794;
2018-06-08;63,44;63,48;63,18;63,94;63,02;63,42;63,466;6306630;400204329,52;5416;
2018-06-07;63,58;63,60;65,06;65,08;63,24;63,50;63,663;8407654;535224683,89;7544;
2018-06-05;64,30;64,32;64,06;64,68;63,66;64,16;64,181;6270530;402795228,55;3932;
2018-06-04;63,98;64,00;64,34;64,56;63,84;64,08;64,10;5569464;356994561,3;4655;
2018-06-01;64,06;64,10;64,08;64,34;63,60;64,18;64,107;6014380;385562978,63;4795;
2018-05-31;63,86;63,92;64,60;64,86;63,48;63,96;64,11;14473913;927940603,86;7027;
2018-05-30;64,26;64,30;64,92;65,10;64,18;64,20;64,436;5476874;352913556,34;5550;
2018-05-29;64,78;64,80;64,38;64,94;63,62;64,84;64,462;7167858;462055129,76;6416;
2018-05-28;64,90;64,94;65,50;65,80;64,54;64,80;65,01;2891051;187946243,16;3031;
2018-05-25;65,24;65,28;65,68;66,28;65,12;65,26;65,50;4108339;269095088,15;4121;
2018-05-24;65,54;65,60;65,78;66,48;65,36;65,52;65,80;6601036;434378174,39;5143;
2018-05-23;65,20;65,24;66,16;66,24;64,82;65,28;65,315;7693796;502516321,45;6536;
2018-05-22;66,36;66,40;67,90;67,98;66,06;66,44;66,529;7134888;473126695,33;5967;
2018-05-21;67,60;67,64;67,78;68,24;67,50;67,64;67,784;4075761;275468581,54;3333;
2018-05-18;67,46;67,50;67,52;68,10;67,46;67,66;67,711;7393451;500617767,68;6595;
2018-05-17;67,30;67,32;67,00;67,44;66,74;67,40;67,149;4790130;321649664,85;4474;
2018-05-16;66,70;66,72;67,24;67,96;66,62;66,80;66,939;7417753;496576166,33;6021;
2018-05-15;67,24;67,26;67,06;67,86;66,56;67,28;67,224;8530861;573478882,7;6699;
2018-05-14;67,36;67,40;67,70;68,08;66,50;67,50;67,295;12075856;812622608,56;8711;
2018-05-11;68,32;68,38;68,70;69,82;67,60;68,28;68,438;15114297;1034379387,2;13007;
2018-05-09;70,20;70,26;69,42;71,18;69,40;70,40;70,295;7723072;542904392,89;5449;
2018-05-08;69,40;69,44;69,48;69,82;68,84;69,52;69,431;9473708;657764424,15;8064;
2018-05-07;69,66;69,72;68,10;69,96;68,08;69,56;69,549;9109713;633574960,16;7269;
2018-05-04;68,04;68,06;66,34;68,14;66,34;68,14;67,714;9799288;663548737,85;7584;
2018-05-03;66,12;66,14;66,70;67,12;65,90;66,08;66,385;8114890;538703248,52;6618;
2018-05-02;66,66;66,70;67,00;67,80;66,26;66,72;67,046;11217672;752085984,03;9791;
2018-04-30;66,84;66,88;65,50;67,54;65,34;67,20;66,774;7969338;532123355,26;5308;
2018-04-27;65,60;65,64;65,78;66,44;65,54;65,70;65,892;12119101;798561284,74;10613;
2018-04-26;65,62;65,66;66,00;66,50;65,54;65,76;65,914;15568138;1026173706,12;12660;
2018-04-25;66,86;66,90;65,88;67,48;65,84;66,82;66,653;21706742;1446795453,9;16909;
2018-04-24;65,64;65,68;65,18;66,18;64,76;65,76;65,645;16836772;1105259784,44;14227;
2018-04-23;65,18;65,22;65,00;65,54;64,34;65,00;64,979;21421974;1388679974,88;15681;
2018-04-20;65,44;65,48;63,50;67,00;62,16;65,28;64,801;60610027;3927893183,89;53055;
2018-04-19;55,46;55,50;53,50;55,72;53,42;55,56;55,098;13664442;751902886,97;9650;
2018-04-18;54,08;54,10;54,60;54,82;53,94;54,18;54,259;4048304;219655018,2;2297;
2018-04-17;54,90;54,96;53,60;55,10;53,04;54,82;54,173;11046844;598420868,65;8932;
2018-04-16;53,26;53,28;53,00;53,98;52,98;53,38;53,492;8445092;451741124,36;8539;
2018-04-13;52,98;53,02;53,86;53,90;52,76;53,00;53,054;7113723;377410960,14;6001;
2018-04-12;53,58;53,62;53,06;53,72;52,30;53,56;53,205;5570206;296353297,76;5053;
2018-04-11;52,90;52,92;53,30;53,46;51,86;52,88;52,726;7167251;377896009,46;5631;
2018-04-10;53,08;53,12;52,80;53,14;52,62;53,14;52,979;4833141;256055957,61;3452;
2018-04-09;52,56;52,60;52,92;53,22;52,24;52,64;52,658;5236622;275751813,38;4427;
2018-04-06;52,78;52,82;52,64;53,28;52,54;52,82;52,877;7294517;385711515,55;5680;
2018-04-05;53,14;53,18;52,26;53,18;52,14;53,12;52,813;7804986;412201578,96;5301;
2018-04-04;51,56;51,58;52,04;52,20;50,82;51,52;51,324;9152270;469732766,46;7865;
2018-04-03;52,16;52,20;52,34;52,36;51,24;52,14;51,90;10457602;542753269,17;8109;
2018-03-29;52,74;52,78;53,16;53,28;52,26;52,92;52,776;5623962;296809224,5;4149;
2018-03-28;53,78;53,82;52,84;53,96;52,08;53,96;53,36;9079950;484505345,61;6898;
2018-03-27;53,68;53,70;53,44;54,32;53,30;53,70;53,759;7903730;424897601,69;6459;
2018-03-26;52,22;52,26;53,74;53,96;52,00;52,38;52,925;9503964;502998872,6;6530;
2018-03-23;53,84;53,86;53,22;54,26;53,06;53,94;53,727;7171399;385304538,06;5439;
2018-03-22;53,62;53,64;54,48;54,48;53,22;53,72;53,684;8385212;450136358,85;6022;
2018-03-21;54,84;54,88;54,42;54,88;53,62;54,82;54,331;5995545;325740690,96;4050;
2018-03-20;54,36;54,40;54,96;55,04;54,12;54,36;54,41;6303027;342948969,85;4785;
2018-03-19;54,70;54,74;55,58;55,60;54,64;54,80;54,883;13047506;719170426,35;6697;
2018-03-16;55,84;55,88;56,28;56,66;55,78;55,78;55,949;12242969;685219556,63;7082;
2018-03-15;56,08;56,12;55,94;56,36;55,64;56,26;56,146;11360845;637859877,81;7116;
2018-03-14;55,94;55,98;56,10;56,76;55,84;55,92;56,171;8060240;452756360,47;5810;
2018-03-13;56,16;56,20;56,70;57,04;55,96;56,10;56,492;7856161;443811281,91;5971;
2018-03-12;56,64;56,68;56,70;56,80;55,90;56,74;56,429;8933784;503966391,45;6543;
2018-03-09;56,94;56,96;56,42;56,98;56,06;56,94;56,596;5725129;324019797,67;4146;
2018-03-08;56,60;56,64;55,68;56,66;55,58;56,62;56,414;8329116;469901492,85;6210;
2018-03-07;55,46;55,48;55,50;55,78;54,82;55,52;55,246;11106213;613576014,66;8124;
2018-03-06;55,74;55,78;56,00;56,70;55,64;55,76;56,089;8525500;478187581,1;6800;
2018-03-05;55,64;55,68;53,60;55,68;53,46;55,56;54,941;9170641;503812712,34;6970;
2018-03-02;53,76;53,80;53,74;54,48;53,28;53,78;53,929;10456315;563899348,78;7380;
2018-03-01;54,28;54,30;55,12;55,26;54,22;54,24;54,52;9932811;541538874,99;7217;
2018-02-28;55,70;55,74;56,32;56,66;55,66;55,76;56,023;10319362;578120357;6694;
2018-02-27;56,68;56,72;57,14;57,80;56,38;56,68;56,974;7722594;439988435,54;6980;
2018-02-26;56,74;56,80;56,72;58,20;56,38;56,64;57,107;10469122;597864667,67;8717;
2018-02-23;55,98;56,02;54,78;56,16;54,52;55,94;55,633;8763981;487561853,61;6962;
2018-02-22;54,60;54,62;54,30;54,96;54,04;54,60;54,431;9655970;525564800,58;7312;
2018-02-21;54,76;54,78;54,60;54,98;54,00;54,82;54,581;5517974;301030569,97;4115;
2018-02-20;54,62;54,66;53,32;54,82;53,32;54,74;54,419;5673697;308757377,96;5043;
2018-02-19;53,48;53,52;54,14;54,34;53,18;53,48;53,755;4605181;247890396,9;3762;
2018-02-16;54,12;54,16;54,00;54,28;53,64;54,08;53,985;6134321;331174022,42;3701;
2018-02-15;53,60;53,64;53,28;53,76;53,06;53,74;53,528;7299098;390706265,95;4634;
2018-02-14;52,96;53,00;52,80;53,20;52,08;53,06;52,873;8445009;446508274,14;5980;
2018-02-13;52,94;52,98;52,88;53,48;52,16;52,82;52,831;10018271;529274617,44;6568;
2018-02-12;52,56;52,60;52,28;53,02;52,28;52,50;52,638;9414234;495517364,96;7154;
2018-02-09;51,78;51,80;51,00;53,12;51,00;51,78;52,07;13400013;697693592,09;9138;
2018-02-08;51,52;51,54;52,10;52,60;51,52;51,56;51,90;11378053;590516360,6;7548;
2018-02-07;52,30;52,34;51,00;52,64;50,62;52,42;51,848;13680953;709230418,71;9047;
2018-02-06;50,06;50,10;49,97;50,84;49,04;50,14;49,937;22854634;1141249739,85;18631;
2018-02-05;51,58;51,60;52,60;52,60;51,08;51,60;51,651;16117458;832467642,65;11988;
2018-02-02;53,76;53,80;52,08;53,88;51,90;53,80;53,124;13828868;734641399,62;9501;
2018-02-01;52,06;52,08;51,06;52,70;50,94;52,14;51,987;17838118;927339458,29;14850;
2018-01-31;50,64;50,66;52,36;53,00;50,38;50,60;51,209;51462893;2635241791,01;39165;
2018-01-30;55,50;55,56;56,00;56,68;55,48;55,70;55,925;11931016;667246305,61;9988;
2018-01-29;55,02;55,08;54,24;55,42;54,08;54,98;54,95;9940166;546059133,74;6599;
2018-01-26;54,10;54,14;54,56;54,64;53,74;54,04;54,105;7617631;412158984,96;7034;
2018-01-25;54,58;54,62;56,18;56,28;54,46;54,60;55,137;11287996;622396602,57;9008;
2018-01-24;56,54;56,58;57,06;57,22;56,20;56,48;56,641;7893628;447105665,96;6320;
2018-01-23;57,10;57,14;57,74;57,88;56,72;57,08;57,114;10077739;575580090,74;8820;
2018-01-22;57,36;57,38;58,48;58,48;57,10;57,28;57,538;9856070;566610033,32;6825;
2018-01-19;58,44;58,48;58,50;59,02;58,22;58,56;58,59;8993270;526916140,07;7225;
2018-01-18;58,54;58,58;58,22;59,22;57,80;58,50;58,623;14490414;849540259,73;10760;
2018-01-17;57,68;57,70;55,90;58,40;55,80;57,82;57,433;15557127;892922859,08;10824;
2018-01-16;55,96;56,00;55,90;56,64;55,56;56,00;56,053;8684995;486822646,55;6452;
2018-01-15;56,28;56,32;56,40;56,86;56,18;56,36;56,445;4496497;253798290,13;3256;
2018-01-12;56,44;56,46;56,04;56,70;55,06;56,48;55,972;11826047;661802175,92;8187;
2018-01-11;55,94;55,96;55,40;56,00;55,12;55,88;55,616;8253747;458928394,78;5647;
2018-01-10;55,30;55,34;55,90;56,00;54,78;55,30;55,253;9031509;499019921,82;6188;
2018-01-09;56,02;56,06;55,72;56,28;55,60;56,02;55,959;7413264;414838230,25;5540;
2018-01-08;55,52;55,56;55,46;55,80;55,08;55,50;55,424;9013865;499562741;6081;
2018-01-05;55,48;55,52;54,98;55,62;54,86;55,46;55,232;6175589;341134487,62;3553;
2018-01-04;54,86;54,92;55,00;55,06;54,30;54,80;54,687;9498331;519439044,22;6624;
2018-01-03;54,52;54,58;54,42;54,82;54,04;54,60;54,52;6994043;381314875,21;4601;
2018-01-02;54,18;54,24;54,20;54,86;54,10;54,30;54,426;8981663;488819697,35;5902;
